Date,HomeTeam,AwayTeam,FTR,season,home_odds,draw_odds,away_odds,goals_scored,goals_conceded,ELO,matchDay,avg_goals_scored,avg_goals_conceded,points,avg_points_game,elo_change_trend,goals_scored_trend,goals_conceded_trend,goals_scored_away,goals_conceded_away,ELO_away,matchDay_away,avg_goals_scored_away,avg_goals_conceded_away,points_away,avg_points_game_away,elo_change_trend_away,goals_scored_trend_away,goals_conceded_trend_away
2015-08-29,Liverpool,West Ham,A,2016,1.36,5.28,9.5,2,3,1002.64,4,0.5,0.75,7,1.75,,,,9,6,1007.56,4,2.25,1.5,6,1.5,,,
2015-08-29,Man City,Watford,H,2016,1.2,7.05,15.0,10,0,1050.35,4,2.5,0.0,12,3.0,,,,2,4,989.13,4,0.5,1.0,3,0.75,,,
2015-08-29,Newcastle,Arsenal,A,2016,6.0,4.2,1.61,2,5,979.08,4,0.5,1.25,2,0.5,,,,3,3,1009.97,4,0.75,0.75,7,1.75,,,
2015-08-29,Stoke,West Brom,A,2016,1.95,3.3,4.2,3,5,978.59,4,0.75,1.25,2,0.5,,,,3,6,985.43,4,0.75,1.5,4,1.0,,,
2015-08-29,Tottenham,Everton,D,2016,2.0,3.5,4.0,3,4,990.58,4,0.75,1.0,3,0.75,,,,5,4,1003.53,4,1.25,1.0,5,1.25,,,
2015-08-30,Southampton,Norwich,H,2016,2.05,3.45,3.95,5,5,998.05,4,1.25,1.25,5,1.25,,,,5,8,986.26,4,1.25,2.0,4,1.0,,,
2015-08-30,Swansea,Man United,H,2016,3.55,3.3,2.23,7,4,1020.72,4,1.75,1.0,8,2.0,,,,3,2,1009.9,4,0.75,0.5,7,1.75,,,
2015-09-12,Arsenal,Stoke,H,2016,1.3,5.75,11.0,5,3,1017.65,5,1.0,0.6,10,2.0,,,,3,7,970.91,5,0.6,1.4,2,0.4,,,
2015-09-12,Crystal Palace,Man City,A,2016,5.5,3.9,1.65,8,6,1009.11,5,1.6,1.2,9,1.8,,,,11,0,1063.09,5,2.2,0.0,15,3.0,,,
2015-09-12,Everton,Chelsea,H,2016,4.0,3.51,2.0,8,5,1011.68,5,1.6,1.0,8,1.6,,,,7,12,979.53,5,1.4,2.4,4,0.8,,,
2015-09-12,Man United,Liverpool,H,2016,1.95,3.41,4.33,6,3,1018.29,5,1.2,0.6,10,2.0,,,,3,6,994.25,5,0.6,1.2,7,1.4,,,
2015-09-12,Norwich,Bournemouth,H,2016,2.4,3.4,3.13,8,9,995.1,5,1.6,1.8,7,1.4,,,,6,9,982.76,5,1.2,1.8,4,0.8,,,
2015-09-12,Watford,Swansea,H,2016,2.7,3.3,2.75,3,4,997.57,5,0.6,0.8,6,1.2,,,,7,5,1012.28,5,1.4,1.0,8,1.6,,,
2015-09-12,West Brom,Southampton,D,2016,3.2,3.2,2.5,3,6,982.99,5,0.6,1.2,5,1.0,,,,5,5,1000.49,5,1.0,1.0,6,1.2,,,
2015-09-13,Leicester,Aston Villa,H,2016,1.88,3.7,4.33,11,7,1027.48,5,2.2,1.4,11,2.2,,,,6,8,982.36,5,1.2,1.6,4,0.8,,,
2015-09-13,Sunderland,Tottenham,A,2016,4.26,3.6,1.95,6,11,964.22,5,1.2,2.2,2,0.4,,,,4,4,1003.6,5,0.8,0.8,6,1.2,,,
2015-09-14,West Ham,Newcastle,H,2016,2.25,3.5,3.4,11,6,1015.33,5,2.2,1.2,9,1.8,,,,2,7,971.31,5,0.4,1.4,2,0.4,,,
2015-09-19,Aston Villa,West Brom,A,2016,2.3,3.2,3.46,6,9,968.98,6,1.0,1.5,4,0.667,,,,4,6,996.37,6,0.667,1.0,8,1.333,,,
2015-09-19,Bournemouth,Sunderland,H,2016,1.71,3.9,5.35,8,9,990.9,6,1.333,1.5,7,1.167,,,,6,13,956.08,6,1.0,2.167,2,0.333,,,
2015-09-19,Chelsea,Arsenal,H,2016,2.4,3.5,3.0,9,12,989.42,6,1.5,2.0,7,1.167,,,,5,5,1007.76,6,0.833,0.833,10,1.667,,,
2015-09-19,Man City,West Ham,A,2016,1.28,6.2,11.5,12,2,1048.28,6,2.0,0.333,15,2.5,,,,13,7,1030.14,6,2.167,1.167,12,2.0,,,
2015-09-19,Newcastle,Watford,A,2016,2.5,3.3,3.04,3,9,958.66,6,0.5,1.5,2,0.333,,,,5,5,1010.22,6,0.833,0.833,9,1.5,,,
2015-09-19,Stoke,Leicester,D,2016,2.5,3.4,3.0,5,9,969.67,6,0.833,1.5,3,0.5,,,,13,9,1028.72,6,2.167,1.5,12,2.0,,,
